Date,Open,High,Low,Close,Adj Close,Volume
2023-06-07,561.0,568.0,560.0,568.0,562.2177124023438,27604813
2023-06-08,562.0,568.0,555.0,559.0,553.309326171875,23080195
2023-06-09,561.0,566.0,561.0,565.0,559.2482299804688,19091713
2023-06-12,574.0,574.0,571.0,574.0,568.1566162109375,26392389
2023-06-13,593.0,594.0,589.0,593.0,586.9631958007812,56174363
2023-06-14,590.0,591.0,587.0,590.0,583.9937133789062,23583314
2023-06-15,590.0,593.0,587.0,591.0,587.7227783203125,27392154
2023-06-16,590.0,590.0,584.0,589.0,585.7338256835938,38128802
2023-06-19,583.0,585.0,582.0,583.0,579.76708984375,14346885
2023-06-20,579.0,585.0,579.0,583.0,579.76708984375,16221413
2023-06-21,582.0,585.0,578.0,581.0,577.7781982421875,21703937
2023-06-26,576.0,578.0,574.0,574.0,570.8170166015625,27142262
2023-06-27,570.0,575.0,569.0,572.0,568.828125,21501718
2023-06-28,579.0,579.0,571.0,574.0,570.8170166015625,18175426
2023-06-29,578.0,580.0,570.0,573.0,569.8225708007812,16937929
2023-06-30,570.0,576.0,568.0,576.0,572.805908203125,22654976
2023-07-03,578.0,580.0,576.0,579.0,575.789306640625,14785585
2023-07-04,585.0,585.0,580.0,585.0,581.7560424804688,17219541
2023-07-05,589.0,589.0,579.0,582.0,578.7726440429688,14913592
2023-07-06,573.0,574.0,565.0,565.0,561.866943359375,28564891
2023-07-07,565.0,572.0,563.0,565.0,561.866943359375,18796190
2023-07-10,567.0,573.0,565.0,565.0,561.866943359375,18454982
2023-07-11,574.0,577.0,570.0,577.0,573.8004150390625,17850636
2023-07-12,574.0,578.0,572.0,578.0,574.7948608398438,15588228
2023-07-13,587.0,590.0,585.0,585.0,581.7560424804688,25442137
2023-07-14,589.0,591.0,587.0,591.0,587.7227783203125,23121873
2023-07-17,588.0,591.0,587.0,591.0,587.7227783203125,13807834
2023-07-18,587.0,588.0,580.0,581.0,577.7781982421875,20932006
2023-07-19,584.0,587.0,579.0,581.0,577.7781982421875,22499123
2023-07-20,580.0,584.0,578.0,579.0,575.789306640625,15108109
2023-07-21,560.0,563.0,557.0,560.0,556.8946533203125,46711021
2023-07-24,557.0,563.0,557.0,558.0,554.90576171875,25268835
2023-07-25,561.0,569.0,561.0,569.0,565.8447265625,19590349
2023-07-26,569.0,571.0,563.0,566.0,562.8613891601562,13314305
2023-07-27,570.0,570.0,566.0,569.0,565.8447265625,12200358
2023-07-28,569.0,573.0,565.0,567.0,563.8558349609375,18540078
2023-07-31,575.0,575.0,560.0,565.0,561.866943359375,24208467
2023-08-01,565.0,568.0,564.0,567.0,563.8558349609375,16259643
2023-08-02,567.0,569.0,558.0,561.0,557.8890991210938,25583234
2023-08-04,556.0,560.0,552.0,554.0,550.9279174804688,26279173
2023-08-07,558.0,561.0,556.0,558.0,554.90576171875,14369551
2023-08-08,558.0,558.0,551.0,552.0,548.9390258789062,19010690
2023-08-09,550.0,557.0,550.0,554.0,550.9279174804688,14389090
2023-08-10,552.0,554.0,550.0,551.0,547.944580078125,17892615
2023-08-11,556.0,558.0,546.0,546.0,542.9722900390625,17608427
2023-08-14,540.0,543.0,537.0,541.0,538.0,20939030
2023-08-15,543.0,545.0,540.0,542.0,538.9944458007812,14066307
2023-08-16,541.0,543.0,536.0,542.0,538.9944458007812,28269840
2023-08-17,540.0,546.0,537.0,544.0,540.9833984375,22843138
2023-08-18,540.0,544.0,539.0,539.0,536.0111083984375,17592345
